instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
4	r4.2xlarge	32	244000	15408	100	160000000	170	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	15408	100	160000000	196	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	15408	100	160000000	196	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	17334	100	180000000	176	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	17334	100	180000000	180	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	17334	100	180000000	180	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	17334	100	180000000	182	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	17334	100	180000000	182	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	19260	100	200000000	204	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	19260	100	200000000	204	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	19260	100	200000000	208	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	19260	100	200000000	208	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	19260	100	200000000	212	0.621439738915361	0.699904926309755	0.683905823195575
6	c4.2xlarge	48	90000	9530	1000	10000000	150	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	9530	1000	10000000	152	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	9530	1000	10000000	154	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	9530	1000	10000000	156	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	9530	1000	10000000	156	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	9630	100	100000000	156	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	9630	100	100000000	158	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	9630	100	100000000	158	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	9630	100	100000000	160	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	9630	100	100000000	162	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	11556	100	120000000	182	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	11556	100	120000000	182	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	11556	100	120000000	186	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	11556	100	120000000	186	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	11556	100	120000000	188	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	13482	100	140000000	212	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	13482	100	140000000	212	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	13482	100	140000000	212	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	13482	100	140000000	212	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	13482	100	140000000	218	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	15408	100	160000000	234	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	15408	100	160000000	236	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	15408	100	160000000	242	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	15408	100	160000000	242	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	15408	100	160000000	264	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	17334	100	180000000	264	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	17334	100	180000000	266	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	17334	100	180000000	266	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	17334	100	180000000	272	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	17334	100	180000000	272	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	19260	100	200000000	290	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	19260	100	200000000	292	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	19260	100	200000000	294	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	19260	100	200000000	296	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	19260	100	200000000	298	1.0	0.975170773880192	0.995589462652916
6	m4.2xlarge	48	192000	9530	1000	10000000	166	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	9530	1000	10000000	166	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	9530	1000	10000000	166	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	9530	1000	10000000	166	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	9530	1000	10000000	168	0.73813508679461	0.917837907061713	0.817114731721182
